episode_number,guest,title,title_topics,chapter_topics,all_topics
70,Jim,Jim Keller Moore's Law Microprocessors and First Principles,Jim Keller Moore's Law Microprocessors and First Principles,Computer; Computers; Your; Computation; Data; Build; Moore; Them; Whole; Simple; Transistors; Building; Complicated; Faster; Understanding,Jim Keller Moore's Law Microprocessors and First Principles; Computer; Computers; Your; Computation; Data; Build; Moore; Them; Whole; Simple; Transistors; Building; Complicated; Faster; Understanding
71,Vladimir Vapnik,"Vladimir Vapnik - Predicates, Invariants, and the Essence of Intelligence",Vladimir Vapnik - Predicates; Invariants; and the Essence of Intelligence,Predicate; Function; Functions; Symmetry; Predicates; Recognition; Convergence; Ideas; Digit; Intelligence; Data; Your; Images; Vladimir; Admissible,Vladimir Vapnik - Predicates; Invariants; and the Essence of Intelligence; Predicate; Function; Functions; Symmetry; Predicates; Recognition; Convergence; Ideas; Digit; Intelligence; Data; Your; Images; Vladimir; Admissible
72,Scott,Scott Aaronson Quantum Computing,Scott Aaronson Quantum Computing,Quantum; Computer; Questions; Qubits; Them; Classical; Computers; Your; Machine; Computing; Error; Amplitudes; Possible; Algorithm; Their,Scott Aaronson Quantum Computing; Quantum; Computer; Questions; Qubits; Them; Classical; Computers; Your; Machine; Computing; Error; Amplitudes; Possible; Algorithm; Their
73,Andrew Ng,"Andrew Ng - Deep Learning, Education, and Real-World AI",Andrew Ng - Deep Learning; Education; and Real-World AI,Learning; Your; Machine; Data; Deep; Build; Learn; Companies; Impact; Their; Them; Software; Team; Process; Building,Andrew Ng - Deep Learning; Education; and Real-World AI; Learning; Your; Machine; Data; Deep; Build; Learn; Companies; Impact; Their; Them; Software; Team; Process; Building
74,Michael I. Jordan,"Michael I. Jordan - Machine Learning, Recommender Systems, and Future of AI",Michael I. Jordan - Machine Learning; Recommender Systems; and Future of AI,Them; Data; Your; Intelligence; Market; Certain; Engineering; Facebook; Field; Money; Around; Decisions; Didn; System; Create,Michael I. Jordan - Machine Learning; Recommender Systems; and Future of AI; Them; Data; Your; Intelligence; Market; Certain; Engineering; Facebook; Field; Money; Around; Decisions; Didn; System; Create
75,Marcus Hutter,"Marcus Hutter - Universal Artificial Intelligence, AIXI, and AGI",Marcus Hutter - Universal Artificial Intelligence; AIXI; and AGI,Your; Intelligence; Data; Agent; Model; Program; Simple; Reward; General; Humans; Theory; Course; Book; Next; Quite,Marcus Hutter - Universal Artificial Intelligence; AIXI; and AGI; Your; Intelligence; Data; Agent; Model; Program; Simple; Reward; General; Humans; Theory; Course; Book; Next; Quite
76,John Hopfield,John Hopfield - Physics View of the Mind and Neurobiology,John Hopfield - Physics View of the Mind and Neurobiology,Physics; Networks; System; Learning; Your; Biology; Systems; Neural; Them; Neurobiology; Brain; Simple; Physical; Mind; Computer,John Hopfield - Physics View of the Mind and Neurobiology; Physics; Networks; System; Learning; Your; Biology; Systems; Neural; Them; Neurobiology; Brain; Simple; Physical; Mind; Computer
77,Alex Garland,"Alex Garland - Ex Machina, Devs, Annihilation, and the Poetry of Science",Alex Garland - Ex Machina; Devs; Annihilation; and the Poetry of Science,Your; Consciousness; Quantum; Space; Machine; State; Thought; Money; Alien; Humans; Machina; Their; Intelligence; Movie; Series,Alex Garland - Ex Machina; Devs; Annihilation; and the Poetry of Science; Your; Consciousness; Quantum; Space; Machine; State; Thought; Money; Alien; Humans; Machina; Their; Intelligence; Movie; Series
78,Ann Druyan,"Ann Druyan - Cosmos, Carl Sagan, Voyager, and the Beauty of Science",Ann Druyan - Cosmos; Carl Sagan; Voyager; and the Beauty of Science,Science; Cosmos; Carl; Love; Voyager; Send; Them; Your; Record; Spacecraft; Possible; Sagan; Civilization; Scientists; Beautiful,Ann Druyan - Cosmos; Carl Sagan; Voyager; and the Beauty of Science; Science; Cosmos; Carl; Love; Voyager; Send; Them; Your; Record; Spacecraft; Possible; Sagan; Civilization; Scientists; Beautiful
79,Lee Smolin,Lee Smolin - Quantum Gravity and Einstein's Unfinished Revolution,Lee Smolin - Quantum Gravity and Einstein's Unfinished Revolution,Quantum; Theory; Physics; Science; Space; Your; Fundamental; String; Book; Mechanics; Gravity; Community; Them; Events; Universe,Lee Smolin - Quantum Gravity and Einstein's Unfinished Revolution; Quantum; Theory; Physics; Science; Space; Your; Fundamental; String; Book; Mechanics; Gravity; Community; Them; Events; Universe
80,Vitalik,Vitalik Buterin Ethereum Cryptocurrency and the Future of Money,Vitalik Buterin Ethereum Cryptocurrency and the Future of Money,Ethereum; Proof; Money; Bitcoin; Your; System; Currency; Block; Them; Network; Cryptocurrency; Coins; Their; Ideas; Computer,Vitalik Buterin Ethereum Cryptocurrency and the Future of Money; Ethereum; Proof; Money; Bitcoin; Your; System; Currency; Block; Them; Network; Cryptocurrency; Coins; Their; Ideas; Computer
81,Anca Dragan,Anca Dragan - Human-Robot Interaction and Reward Engineering,Anca Dragan - Human-Robot Interaction and Reward Engineering,Robot; Your; Robots; Them; Behavior; Humans; Reward; Hard; Interaction; Driving; Model; Their; Whatever; Robotics; Around,Anca Dragan - Human-Robot Interaction and Reward Engineering; Robot; Your; Robots; Them; Behavior; Humans; Reward; Hard; Interaction; Driving; Model; Their; Whatever; Robotics; Around
82,Simon Sinek,"Simon Sinek - Leadership, Hard Work, Optimism and the Infinite Game",Simon Sinek - Leadership; Hard Work; Optimism and the Infinite Game,Your; Pressure; Game; Hard; Them; Best; Gonna; Vision; Infinite; Money; Passion; Their; Finite; Better; Leaders,Simon Sinek - Leadership; Hard Work; Optimism and the Infinite Game; Your; Pressure; Game; Hard; Them; Best; Gonna; Vision; Infinite; Money; Passion; Their; Finite; Better; Leaders
83,Nick Bostrom,Nick Bostrom - Simulation and Superintelligence,Nick Bostrom - Simulation and Superintelligence,Simulation; Intelligence; Argument; Your; Experience; Super; Machine; Simulations; Computer; Them; Possible; Civilization; Create; Technology; Simulated,Nick Bostrom - Simulation and Superintelligence; Simulation; Intelligence; Argument; Your; Experience; Super; Machine; Simulations; Computer; Them; Possible; Civilization; Create; Technology; Simulated
85,Roger Penrose,Roger Penrose - Physics of Consciousness and the Infinite Universe,Roger Penrose - Physics of Consciousness and the Infinite Universe,Quantum; Them; Consciousness; Mechanics; Your; Understanding; Thought; Computation; Universe; Rules; Bang; Around; State; Infinity; View,Roger Penrose - Physics of Consciousness and the Infinite Universe; Quantum; Them; Consciousness; Mechanics; Your; Understanding; Thought; Computation; Universe; Rules; Bang; Around; State; Infinity; View
86,David Silver,"David Silver - AlphaGo, AlphaZero, and Deep Reinforcement Learning",David Silver - AlphaGo; AlphaZero; and Deep Reinforcement Learning,System; Learning; Game; Play; Alphago; Level; Intelligence; Your; Reinforcement; Deep; Games; Zero; Knowledge; Goal; Alpha,David Silver - AlphaGo; AlphaZero; and Deep Reinforcement Learning; System; Learning; Game; Play; Alphago; Level; Intelligence; Your; Reinforcement; Deep; Games; Zero; Knowledge; Goal; Alpha
87,Richard Dawkins,"Richard Dawkins - Evolution, Intelligence, Simulation, and Memes",Richard Dawkins - Evolution; Intelligence; Simulation; and Memes,Science; Ideas; Your; Them; Intelligence; Intelligent; Doesn; Their; Simulation; Religion; Brain; Process; Conspiracy; Earth; Evolution,Richard Dawkins - Evolution; Intelligence; Simulation; and Memes; Science; Ideas; Your; Them; Intelligence; Intelligent; Doesn; Their; Simulation; Religion; Brain; Process; Conspiracy; Earth; Evolution
88,Eric,Eric Weinstein Geometric Unity and the Call for New Ideas Institutions,Eric Weinstein Geometric Unity and the Call for New Ideas Institutions,Your; Theory; Gonna; Story; System; Them; Didn; Supposed; Four; Hope; Love; Somebody; Enough; Weird; Their,Eric Weinstein Geometric Unity and the Call for New Ideas Institutions; Your; Theory; Gonna; Story; System; Them; Didn; Supposed; Four; Hope; Love; Somebody; Enough; Weird; Their
89,Stephen,Stephen Wolfram Cellular Automata Computation and Physics,Stephen Wolfram Cellular Automata Computation and Physics,Universe; Computation; Computational; Language; Physics; Speak; Rule; Rules; Science; Your; Kinds; Simple; Stuff; Them; Possible,Stephen Wolfram Cellular Automata Computation and Physics; Universe; Computation; Computational; Language; Physics; Speak; Rule; Rules; Science; Your; Kinds; Simple; Stuff; Them; Possible
90,Dmitry,Dmitry Korkin Computational Biology of Coronavirus,Dmitry Korkin Computational Biology of Coronavirus,Virus; Protein; Proteins; Essentially; Viruses; Function; Information; Scientists; Viral; Structure; Your; Course; Sars; Them; Figure,Dmitry Korkin Computational Biology of Coronavirus; Virus; Protein; Proteins; Essentially; Viruses; Function; Information; Scientists; Viral; Structure; Your; Course; Sars; Them; Figure
91,Jack Dorsey,"Jack Dorsey - Square, Cryptocurrency, and Artificial Intelligence",Jack Dorsey - Square; Cryptocurrency; and Artificial Intelligence,Around; Learning; Your; Artificial; Intelligence; System; Currency; Money; Build; Focus; Machine; Systems; Next; Pretty; Identity,Jack Dorsey - Square; Cryptocurrency; and Artificial Intelligence; Around; Learning; Your; Artificial; Intelligence; System; Currency; Money; Build; Focus; Machine; Systems; Next; Pretty; Identity
92,Harry Cliff,Harry Cliff - Particle Physics and the Large Hadron Collider,Harry Cliff - Particle Physics and the Large Hadron Collider,Particles; Field; Force; Higgs; Particle; Theory; Matter; Them; Quarks; Electron; Around; Universe; Data; Quark; Physics,Harry Cliff - Particle Physics and the Large Hadron Collider; Particles; Field; Force; Higgs; Particle; Theory; Matter; Them; Quarks; Electron; Around; Universe; Data; Quark; Physics
93,Daphne Koller,Daphne Koller - Biomedicine and Machine Learning,Daphne Koller - Biomedicine and Machine Learning,Learning; Disease; Machine; Data; Cells; Your; Diseases; Cell; Level; Stem; Mechanisms; Models; Better; Online; Biology,Daphne Koller - Biomedicine and Machine Learning; Learning; Disease; Machine; Data; Cells; Your; Diseases; Cell; Level; Stem; Mechanisms; Models; Better; Online; Biology
94,Ilya Sutskever,Ilya Sutskever - Deep Learning,Ilya Sutskever - Deep Learning,Neural; Learning; Networks; Deep; Data; Language; Your; Network; System; Brain; Them; Function; Hard; Possible; Cost,Ilya Sutskever - Deep Learning; Neural; Learning; Networks; Deep; Data; Language; Your; Network; System; Brain; Them; Function; Hard; Possible; Cost
95,Dawn Song,Dawn Song - Adversarial Machine Learning and Computer Security,Dawn Song - Adversarial Machine Learning and Computer Security,Data; System; Essentially; Your; Attacks; Security; Learning; Program; Model; Training; Physical; Systems; Their; Privacy; Machine,Dawn Song - Adversarial Machine Learning and Computer Security; Data; System; Essentially; Your; Attacks; Security; Learning; Program; Model; Training; Physical; Systems; Their; Privacy; Machine
96,Stephen Schwarzman,"Stephen Schwarzman - Going Big in Business, Investing, and AI",Stephen Schwarzman - Going Big in Business; Investing; and AI,Your; Their; Them; Somebody; Science; Doesn; Almost; Help; Easy; Everybody; Around; President; Expressvpn; Terms; Society,Stephen Schwarzman - Going Big in Business; Investing; and AI; Your; Their; Them; Somebody; Science; Doesn; Almost; Help; Easy; Everybody; Around; President; Expressvpn; Terms; Society
97,Sertac Karaman,Sertac Karaman - Robots That Fly and Robots That Drive,Sertac Karaman - Robots That Fly and Robots That Drive,Autonomous; Them; Vehicles; Hard; Gonna; Your; Humans; Build; Around; Vehicle; Technology; Building; Environment; Becomes; Aggressive,Sertac Karaman - Robots That Fly and Robots That Drive; Autonomous; Them; Vehicles; Hard; Gonna; Your; Humans; Build; Around; Vehicle; Technology; Building; Environment; Becomes; Aggressive
98,Kate,Kate Darling Social Robotics,Kate Darling Social Robotics,Your; Gonna; Them; Their; Kids; Better; Yourself; Book; Didn; Around; Enough; Everyone; Thought; Evil; Doesn,Kate Darling Social Robotics; Your; Gonna; Them; Their; Kids; Better; Yourself; Book; Didn; Around; Enough; Everyone; Thought; Evil; Doesn
99,Karl Friston,Karl Friston - Neuroscience and the Free Energy Principle,Karl Friston - Neuroscience and the Free Energy Principle,Brain; Your; States; Energy; Free; Surface; Self; Terms; Model; Drop; Imaging; Principle; Function; Activity; Existence,Karl Friston - Neuroscience and the Free Energy Principle; Brain; Your; States; Energy; Free; Surface; Self; Terms; Model; Drop; Imaging; Principle; Function; Activity; Existence
101,Joscha,Joscha Bach Artificial Consciousness and the Nature of Reality,Joscha Bach Artificial Consciousness and the Nature of Reality,Your; Them; Brain; System; Intelligence; Mind; Model; Models; Physical; Attention; Instance; Itself; Society; Certain; Enough,Joscha Bach Artificial Consciousness and the Nature of Reality; Your; Them; Brain; System; Intelligence; Mind; Model; Models; Physical; Attention; Instance; Itself; Society; Certain; Enough
102,Steven Pressfield,Steven Pressfield - The War of Art,Steven Pressfield - The War of Art,Your; Whatever; Writing; Self; Process; Them; Their; Resistance; Hard; Sure; Next; Fear; Gonna; Doesn; Else,Steven Pressfield - The War of Art; Your; Whatever; Writing; Self; Process; Them; Their; Resistance; Hard; Sure; Next; Fear; Gonna; Doesn; Else
103,Ben,Ben Goertzel Artificial General Intelligence,Ben Goertzel Artificial General Intelligence,System; Your; Learning; Their; Intelligence; Neural; Them; Logic; Deep; Whole; Singularity; Opencog; Mind; Data; Open,Ben Goertzel Artificial General Intelligence; System; Your; Learning; Their; Intelligence; Neural; Them; Logic; Deep; Whole; Singularity; Opencog; Mind; Data; Open
104,David Patterson,David Patterson - Computer Architecture and Data Storage,David Patterson - Computer Architecture and Data Storage,Instruction; Instructions; Software; Your; Computer; Risk; Moore; Them; Hardware; Machine; Computers; Faster; Learning; Gonna; Better,David Patterson - Computer Architecture and Data Storage; Instruction; Instructions; Software; Your; Computer; Risk; Moore; Them; Hardware; Machine; Computers; Faster; Learning; Gonna; Better
105,Robert Langer,Robert Langer - Edison of Medicine,Robert Langer - Edison of Medicine,Drug; Blood; Your; Them; Science; Engineering; Body; Process; Better; Delivery; Research; Money; Thought; Drugs; Cancer,Robert Langer - Edison of Medicine; Drug; Blood; Your; Them; Science; Engineering; Body; Process; Better; Delivery; Research; Money; Thought; Drugs; Cancer
106,Matt Botvinick,"Matt Botvinick - Neuroscience, Psychology, and AI at DeepMind",Matt Botvinick - Neuroscience; Psychology; and AI at DeepMind,Learning; Brain; Neuroscience; Humans; Psychology; Behavior; Neural; Them; Research; Level; Deep; Meta; Mind; Your; Cortex,Matt Botvinick - Neuroscience; Psychology; and AI at DeepMind; Learning; Brain; Neuroscience; Humans; Psychology; Behavior; Neural; Them; Research; Level; Deep; Meta; Mind; Your; Cortex
107,Peter Singer,"Peter Singer - Suffering in Humans, Animals, and AI",Peter Singer - Suffering in Humans; Animals; and AI,Suffering; Your; Conscious; Consciousness; Animals; Them; Whether; Pain; Ethical; Better; Book; Possible; Humans; Perhaps; Difficult,Peter Singer - Suffering in Humans; Animals; and AI; Suffering; Your; Conscious; Consciousness; Animals; Them; Whether; Pain; Ethical; Better; Book; Possible; Humans; Perhaps; Difficult
108,Sergey Levine,Sergey Levine - Robotics and Machine Learning,Sergey Levine - Robotics and Machine Learning,Learning; Your; Reinforcement; Data; Systems; Robotics; Space; Policy; Them; Figure; Problems; Model; Learn; General; Better,Sergey Levine - Robotics and Machine Learning; Learning; Your; Reinforcement; Data; Systems; Robotics; Space; Policy; Them; Figure; Problems; Model; Learn; General; Better
109,Brian Kernighan,"Brian Kernighan - UNIX, C, AWK, AMPL, and Go Programming",Brian Kernighan - UNIX; C; AWK; AMPL; and Go Programming,Language; Programming; System; Languages; Unix; Them; Program; Computers; Computing; Data; Stuff; Labs; Their; Your; Bell,Brian Kernighan - UNIX; C; AWK; AMPL; and Go Programming; Language; Programming; System; Languages; Unix; Them; Program; Computers; Computing; Data; Stuff; Labs; Their; Your; Bell
110,Jitendra Malik,Jitendra Malik - Computer Vision,Jitendra Malik - Computer Vision,Vision; Computer; Learning; Visual; Your; Understanding; Data; Problems; Systems; Their; Language; Perception; Video; Action; Objects,Jitendra Malik - Computer Vision; Vision; Computer; Learning; Visual; Your; Understanding; Data; Problems; Systems; Their; Language; Perception; Video; Action; Objects
111,Richard Karp,Richard Karp - Algorithms and Computational Complexity,Richard Karp - Algorithms and Computational Complexity,Algorithm; Problems; Algorithms; Size; Computer; Polynomial; Hard; Them; Whether; Your; Graph; Class; Science; Particular; Solve,Richard Karp - Algorithms and Computational Complexity; Algorithm; Problems; Algorithms; Size; Computer; Polynomial; Hard; Them; Whether; Your; Graph; Class; Science; Particular; Solve
112,Ian Hutchinson,"Ian Hutchinson - Nuclear Fusion, Plasma Physics, and Religion",Ian Hutchinson - Nuclear Fusion; Plasma Physics; and Religion,Energy; Fusion; Fission; Your; Them; Nuclear; Forth; Christian; Reactions; Science; Plasma; Magnetic; Mind; Faith; Certain,Ian Hutchinson - Nuclear Fusion; Plasma Physics; and Religion; Energy; Fusion; Fission; Your; Them; Nuclear; Forth; Christian; Reactions; Science; Plasma; Magnetic; Mind; Faith; Certain
113,Manolis,Manolis Kellis Human Genome and Evolutionary Dynamics,Manolis Kellis Human Genome and Evolutionary Dynamics,Your; Genome; Brain; Them; Humans; Cells; Protein; Whole; Species; Better; Beautiful; Single; Their; Genes; Virus,Manolis Kellis Human Genome and Evolutionary Dynamics; Your; Genome; Brain; Them; Humans; Cells; Protein; Whole; Species; Better; Beautiful; Single; Their; Genes; Virus
114,Russ Tedrake,"Russ Tedrake - Underactuated Robotics, Control, Dynamics and Touch",Russ Tedrake - Underactuated Robotics; Control; Dynamics and Touch,Robot; Your; Robots; Robotics; Control; Contact; System; Them; Hard; Learning; Challenge; Running; Walking; Dynamics; Their,Russ Tedrake - Underactuated Robotics; Control; Dynamics and Touch; Robot; Your; Robots; Robotics; Control; Contact; System; Them; Hard; Learning; Challenge; Running; Walking; Dynamics; Their
115,Dileep George,Dileep George - Brain-Inspired AI,Dileep George - Brain-Inspired AI,Brain; Model; Your; System; Neural; Level; Inference; Connections; Learning; Models; Network; Them; Language; Visual; Cortical,Dileep George - Brain-Inspired AI; Brain; Model; Your; System; Neural; Level; Inference; Connections; Learning; Models; Network; Them; Language; Visual; Cortical
116,Sara Seager,Sara Seager - Search for Planets and Life Outside Our Solar System,Sara Seager - Search for Planets and Life Outside Our Solar System,Planets; Star; Planet; Earth; Stars; Your; Book; Them; Hard; Water; Light; Love; Around; System; Sure,Sara Seager - Search for Planets and Life Outside Our Solar System; Planets; Star; Planet; Earth; Stars; Your; Book; Them; Hard; Water; Light; Love; Around; System; Sure
117,Sheldon Solomon,Sheldon Solomon - Death and Meaning,Sheldon Solomon - Death and Meaning,Death; Your; Book; Says; Becker; Heidegger; Their; Ideas; Them; Consciousness; Kierkegaard; Books; Love; View; Folks,Sheldon Solomon - Death and Meaning; Death; Your; Book; Says; Becker; Heidegger; Their; Ideas; Them; Consciousness; Kierkegaard; Books; Love; View; Folks
118,Grant Sanderson,"Grant Sanderson - Math, Manim, Neural Networks & Teaching with 3Blue1Brown",Grant Sanderson - Math; Manim; Neural Networks; Teaching with 3Blue1Brown,Math; Your; Beautiful; Itself; Function; Universe; Certain; Them; Mathematics; Notation; Three; Numbers; Physical; Pretty; Doesn,Grant Sanderson - Math; Manim; Neural Networks; Teaching with 3Blue1Brown; Math; Your; Beautiful; Itself; Function; Universe; Certain; Them; Mathematics; Notation; Three; Numbers; Physical; Pretty; Doesn
119,David Eagleman,David Eagleman - Neuroplasticity and the Livewired Brain,David Eagleman - Neuroplasticity and the Livewired Brain,Brain; Your; Their; Book; System; Stuff; Figure; Around; Whatever; Whole; Course; Reason; Care; Doesn; Data,David Eagleman - Neuroplasticity and the Livewired Brain; Brain; Your; Their; Book; System; Stuff; Figure; Around; Whatever; Whole; Course; Reason; Care; Doesn; Data
120,François Chollet,François Chollet - Measures of Intelligence,François Chollet - Measures of Intelligence,Intelligence; Your; Test; Mind; System; Data; Instance; Learning; Humans; Language; Possible; Training; Tasks; Machine; Paper,François Chollet - Measures of Intelligence; Intelligence; Your; Test; Mind; System; Data; Instance; Learning; Humans; Language; Possible; Training; Tasks; Machine; Paper
121,Eugenia Kuyda,Eugenia Kuyda - Friendship with an AI Companion,Eugenia Kuyda - Friendship with an AI Companion,Your; Them; Pretty; Better; Didn; Replica; Friends; Love; Friend; Thought; Remember; Conversations; Whether; Build; Russia,Eugenia Kuyda - Friendship with an AI Companion; Your; Them; Pretty; Better; Didn; Replica; Friends; Love; Friend; Thought; Remember; Conversations; Whether; Build; Russia
122,David Fravor,"David Fravor - UFOs, Aliens, Fighter Jets, and Aerospace Engineering",David Fravor - UFOs; Aliens; Fighter Jets; and Aerospace Engineering,Your; Stuff; Them; Airplane; Around; Goes; Gonna; Flying; Government; Technology; Radar; Money; Fast; Guys; Didn,David Fravor - UFOs; Aliens; Fighter Jets; and Aerospace Engineering; Your; Stuff; Them; Airplane; Around; Goes; Gonna; Flying; Government; Technology; Radar; Money; Fast; Guys; Didn
123,Manolis,Manolis Kellis Origin of Life Humans Ideas Suffering and Happiness,Manolis Kellis Origin of Life Humans Ideas Suffering and Happiness,Your; Love; Earth; Next; Beautiful; Their; Humans; Them; Whole; Gene; Race; Self; Form; Level; Happy,Manolis Kellis Origin of Life Humans Ideas Suffering and Happiness; Your; Love; Earth; Next; Beautiful; Their; Humans; Them; Whole; Gene; Race; Self; Form; Level; Happy
124,Stephen,Stephen Wolfram Fundamental Theory of Physics Life and the Universe,Stephen Wolfram Fundamental Theory of Physics Life and the Universe,Space; Physics; Universe; Quantum; Theory; Graph; Mathematics; Computational; Rule; Mathematical; Science; Causal; Mechanics; General; Model,Stephen Wolfram Fundamental Theory of Physics Life and the Universe; Space; Physics; Universe; Quantum; Theory; Graph; Mathematics; Computational; Rule; Mathematical; Science; Causal; Mechanics; General; Model
125,Ryan,Ryan Hall Martial Arts and the Philosophy of Violence Power and Grace,Ryan Hall Martial Arts and the Philosophy of Violence Power and Grace,Guess; Your; Times; Doesn; Them; Jitsu; Someone; Their; Martial; Didn; Fight; Almost; Gonna; Arts; History,Ryan Hall Martial Arts and the Philosophy of Violence Power and Grace; Guess; Your; Times; Doesn; Them; Jitsu; Someone; Their; Martial; Didn; Fight; Almost; Gonna; Arts; History
126,James Gosling,"James Gosling - Java, JVM, Emacs, and the Early Days of Computing",James Gosling - Java; JVM; Emacs; and the Early Days of Computing,Your; Code; Them; Their; Programming; Stuff; Emacs; Hard; Software; Pretty; Machine; Language; Computer; Early; Companies,James Gosling - Java; JVM; Emacs; and the Early Days of Computing; Your; Code; Them; Their; Programming; Stuff; Emacs; Hard; Software; Pretty; Machine; Language; Computer; Early; Companies
127,Joe,Joe Rogan Fear Love Chaos and the Joe Rogan Experience,Joe Rogan Fear Love Chaos and the Joe Rogan Experience,Your; Ideas; Them; Love; Their; Better; Someone; Listening; Hours; Gonna; Guard; Weird; Listen; Whole; Fight,Joe Rogan Fear Love Chaos and the Joe Rogan Experience; Your; Ideas; Them; Love; Their; Better; Someone; Listening; Hours; Gonna; Guard; Weird; Listen; Whole; Fight
128,Michael,Michael Malice Anarchy Democracy Libertarianism Love and Trolling,Michael Malice Anarchy Democracy Libertarianism Love and Trolling,Your; Them; Their; Love; Someone; Gonna; Trump; Book; Sure; Doesn; Ideas; Better; Twitter; Goes; Certain,Michael Malice Anarchy Democracy Libertarianism Love and Trolling; Your; Them; Their; Love; Someone; Gonna; Trump; Book; Sure; Doesn; Ideas; Better; Twitter; Goes; Certain
129,Lisa,Lisa Feldman Barrett Counterintuitive Ideas About How the Brain Works,Lisa Feldman Barrett Counterintuitive Ideas About How the Brain Works,Your; Brain; Body; Their; Them; Emotion; Concept; Doesn; Experience; Social; System; Brains; Physical; Past; Internal,Lisa Feldman Barrett Counterintuitive Ideas About How the Brain Works; Your; Brain; Body; Their; Them; Emotion; Concept; Doesn; Experience; Social; System; Brains; Physical; Past; Internal
130,Scott Aaronson,Scott Aaronson - Computational Complexity and Consciousness,Scott Aaronson - Computational Complexity and Consciousness,Quantum; Computer; Questions; Qubits; Them; Classical; Computers; Your; Machine; Computing; Error; Amplitudes; Possible; Algorithm; Their,Scott Aaronson - Computational Complexity and Consciousness; Quantum; Computer; Questions; Qubits; Them; Classical; Computers; Your; Machine; Computing; Error; Amplitudes; Possible; Algorithm; Their
131,Chris,Chris Lattner The Future of Computing and Programming Languages,Chris Lattner The Future of Computing and Programming Languages,Swift; Language; Programming; Your; Python; Them; Learning; Design; Languages; Code; Compiler; Hard; Stuff; Better; Level,Chris Lattner The Future of Computing and Programming Languages; Swift; Language; Programming; Your; Python; Them; Learning; Design; Languages; Code; Compiler; Hard; Stuff; Better; Level
132,George,George Hotz Hacking the Simulation Learning to Drive with Neural Nets,George Hotz Hacking the Simulation Learning to Drive with Neural Nets,Your; Driving; Better; Learning; Tesla; Comma; Love; Them; Cars; Data; Their; Stuff; Doesn; Open; Driver,George Hotz Hacking the Simulation Learning to Drive with Neural Nets; Your; Driving; Better; Learning; Tesla; Comma; Love; Them; Cars; Data; Their; Stuff; Doesn; Open; Driver
133,Manolis,Manolis Kellis Biology of Disease,Manolis Kellis Biology of Disease,Your; Gene; Disease; Genetic; Cells; Cell; Them; Genes; Genome; Brain; Single; Level; Biology; Variants; Across,Manolis Kellis Biology of Disease; Your; Gene; Disease; Genetic; Cells; Cell; Them; Genes; Genome; Brain; Single; Level; Biology; Variants; Across
134,Eric,Eric Weinstein On the Nature of Good and Evil Genius and Madness,Eric Weinstein On the Nature of Good and Evil Genius and Madness,Your; Them; Love; Doesn; Somebody; Their; Enough; Money; Everybody; Wrong; Sure; System; Mind; Didn; Power,Eric Weinstein On the Nature of Good and Evil Genius and Madness; Your; Them; Love; Doesn; Somebody; Their; Enough; Money; Everybody; Wrong; Sure; System; Mind; Didn; Power
136,Dan,Dan Carlin Hardcore History,Dan Carlin Hardcore History,Your; History; Them; Love; Hitler; Their; Power; Force; System; Evil; Government; Didn; Somebody; Germany; Stuff,Dan Carlin Hardcore History; Your; History; Them; Love; Hitler; Their; Power; Force; System; Evil; Government; Didn; Somebody; Germany; Stuff
137,Alex,Alex Filippenko Supernovae Dark Energy Aliens the Expanding Universe,Alex Filippenko Supernovae Dark Energy Aliens the Expanding Universe,Universe; Them; Energy; Light; Earth; Stars; Your; Prize; Their; Nobel; Star; Evidence; Billion; Science; Space,Alex Filippenko Supernovae Dark Energy Aliens the Expanding Universe; Universe; Them; Energy; Light; Earth; Stars; Your; Prize; Their; Nobel; Star; Evidence; Billion; Science; Space
138,Yaron,Yaron Brook Ayn Rand and the Philosophy of Objectivism,Yaron Brook Ayn Rand and the Philosophy of Objectivism,Your; Reason; Them; Love; Philosophy; Their; Reality; Ideas; Mind; Force; Book; Stuff; Doesn; Truth; Objectivism,Yaron Brook Ayn Rand and the Philosophy of Objectivism; Your; Reason; Them; Love; Philosophy; Their; Reality; Ideas; Mind; Force; Book; Stuff; Doesn; Truth; Objectivism
139,Andrew,Andrew Huberman Neuroscience of Optimal Performance,Andrew Huberman Neuroscience of Optimal Performance,Brain; Your; Them; Stuff; Neurons; Experience; Space; Level; Cortex; Their; System; Information; Mind; Visual; Sensory,Andrew Huberman Neuroscience of Optimal Performance; Brain; Your; Them; Stuff; Neurons; Experience; Space; Level; Cortex; Their; System; Information; Mind; Visual; Sensory
140,Lisa,Lisa Feldman Barrett Love Evolution and the Human Brain,Lisa Feldman Barrett Love Evolution and the Human Brain,Brain; Your; Them; Stuff; Neurons; Experience; Space; Level; Cortex; Their; System; Information; Mind; Visual; Sensory,Lisa Feldman Barrett Love Evolution and the Human Brain; Brain; Your; Them; Stuff; Neurons; Experience; Space; Level; Cortex; Their; System; Information; Mind; Visual; Sensory
142,Manolis,Manolis Kellis Meaning of Life the Universe and Everything,Manolis Kellis Meaning of Life the Universe and Everything,Your; Cognitive; Love; Song; Beautiful; Them; Whole; Ideas; Layer; Hardware; Concept; Humans; Brain; Language; Songs,Manolis Kellis Meaning of Life the Universe and Everything; Your; Cognitive; Love; Song; Beautiful; Them; Whole; Ideas; Layer; Hardware; Concept; Humans; Brain; Language; Songs
